@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2019/04/30 13:04:54:667',1,-0.815944,0.806189,-3.046836,-2.473868,-12.932011,-7.28997,-8.131156,-11.0966,-7.061671,10.155087,-0.815944,0.806189,-3.046836,-2.473868,-12.932011,-7.28997,-8.131156,-11.0966,-7.061671,10.155087,1
2,'2019/04/30 13:04:56:968',2,3.933677,4.418254,5.436578,3.116532,0.013745,-5.818793,-9.269199,-12.708376,-13.378903,-12.372991,3.933677,4.418254,5.436578,3.116532,0.013745,-5.818793,-9.269199,-12.708376,-13.378903,-12.372991,1
3,'2019/04/30 13:04:59:011',3,0.484115,0.681431,0.754717,0.207504,-0.405296,-1.70283,-2.518633,-3.447953,-2.826809,-3.612088,0.484115,0.681431,0.754717,0.207504,-0.405296,-1.70283,-2.518633,-3.447953,-2.826809,-3.612088,1
4,'2019/04/30 13:05:00:278',4,-2.754045,-3.070705,-3.757104,-11.659039,-14.834999,-9.809525,-11.731045,-15.326594,-15.914991,2.601968,-2.754045,-3.070705,-3.757104,-11.659039,-14.834999,-9.809525,-11.731045,-15.326594,-15.914991,2.601968,1
5,'2019/04/30 13:05:01:303',5,-0.747197,-0.961319,-0.665549,-2.576643,-3.198635,-5.774973,-7.944376,-8.955035,-12.290524,-13.230931,-0.747197,-0.961319,-0.665549,-2.576643,-3.198635,-5.774973,-7.944376,-8.955035,-12.290524,-13.230931,1
6,'2019/04/30 13:05:02:245',6,-0.428691,-0.755105,-1.390731,-5.238329,-7.615278,-7.670254,-9.403967,-10.08381,-11.658329,-5.968707,-0.428691,-0.755105,-1.390731,-5.238329,-7.615278,-7.670254,-9.403967,-10.08381,-11.658329,-5.968707,1
7,'2019/04/30 13:05:03:198',7,-1.82228,-1.844788,-1.290857,-1.14378,-1.938224,-8.407572,-6.960285,-9.514631,-16.844524,-17.640636,-1.82228,-1.844788,-1.290857,-1.14378,-1.938224,-8.407572,-6.960285,-9.514631,-16.844524,-17.640636,1
8,'2019/04/30 13:05:04:163',8,-1.976529,-1.924778,-3.416828,-4.464115,-6.754088,-8.143999,-11.870566,-15.187002,-11.338641,1.686107,-1.976529,-1.924778,-3.416828,-4.464115,-6.754088,-8.143999,-11.870566,-15.187002,-11.338641,1.686107,1
9,'2019/04/30 13:05:05:097',9,-3.406262,-4.65011,-8.919739,-9.79554,-7.781641,-7.304956,-13.461666,-19.646572,-9.586963,20.481642,-3.406262,-4.65011,-8.919739,-9.79554,-7.781641,-7.304956,-13.461666,-19.646572,-9.586963,20.481642,1
10,'2019/04/30 13:05:23:066',10,8.747873,10.970973,12.027499,11.728741,16.534473,20.219294,27.341463,30.705015,29.618139,23.848202,8.747873,10.970973,12.027499,11.728741,16.534473,20.219294,27.341463,30.705015,29.618139,23.848202,2
11,'2019/04/30 13:05:25:057',11,0.162718,0.468121,1.026366,8.749151,17.423996,39.24427,50.332771,45.767017,26.433081,10.510029,0.162718,0.468121,1.026366,8.749151,17.423996,39.24427,50.332771,45.767017,26.433081,10.510029,2
12,'2019/04/30 13:05:26:567',12,0.300204,1.261125,7.333085,16.170971,20.534283,30.811102,39.962242,41.287533,34.350616,8.040736,0.300204,1.261125,7.333085,16.170971,20.534283,30.811102,39.962242,41.287533,34.350616,8.040736,2
13,'2019/04/30 13:05:27:668',13,-0.532269,-0.478431,0.277979,1.141697,5.851431,15.291479,23.568365,39.937386,48.734318,50.290909,-0.532269,-0.478431,0.277979,1.141697,5.851431,15.291479,23.568365,39.937386,48.734318,50.290909,2
14,'2019/04/30 13:05:28:701',14,0.759955,0.191726,0.110396,0.352098,-0.110484,-0.093956,1.562703,8.036433,15.909904,38.233101,0.759955,0.191726,0.110396,0.352098,-0.110484,-0.093956,1.562703,8.036433,15.909904,38.233101,2
15,'2019/04/30 13:05:29:668',15,1.001234,1.511948,2.978726,4.522954,12.349226,30.161238,42.302948,45.08329,44.468681,39.266399,1.001234,1.511948,2.978726,4.522954,12.349226,30.161238,42.302948,45.08329,44.468681,39.266399,2
16,'2019/04/30 13:05:30:855',16,-0.378145,0.197224,1.039437,3.196963,8.928342,14.342392,28.820444,40.234535,44.081711,45.090557,-0.378145,0.197224,1.039437,3.196963,8.928342,14.342392,28.820444,40.234535,44.081711,45.090557,2
17,'2019/04/30 13:05:32:834',17,0.815187,2.12253,7.779658,19.126415,25.888123,33.864506,36.878803,33.216442,16.700918,-11.486451,0.815187,2.12253,7.779658,19.126415,25.888123,33.864506,36.878803,33.216442,16.700918,-11.486451,2
18,'2019/04/30 13:05:42:179',18,0.225149,0.465175,0.571232,0.569946,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,0.225149,0.465175,0.571232,0.569946,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,3
19,'2019/04/30 13:05:42:200',18,0.465175,0.571232,0.569946,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,0.465175,0.571232,0.569946,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,3
20,'2019/04/30 13:05:42:200',18,0.571232,0.569946,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,0.571232,0.569946,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,3
